category,metric,mean,std,variance,cv,iqr,min,max,p25,p50,p75,p95,p99,n_samples,data_source
LINE_STATS,lines_ending_with_terminal_mark_ratio__chars,0.059374,0.077791,0.006051,1.310190,0.058000,0.000000,1.000000,0.011000,0.033000,0.069000,0.244000,0.319000,10030728,histogram
LINE_STATS,short_line_ratio_chars_10__chars,0.446515,0.120287,0.014469,0.269390,0.159000,0.000000,0.989000,0.374000,0.458000,0.533000,0.618000,0.672000,10030755,histogram
LINE_STATS,long_line_ratio_chars_10000__chars,0.000061,0.002034,0.000004,33.503048,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10030747,histogram
WORD_STATS,stop_word_ratio__chars,0.149033,0.022614,0.000511,0.151741,0.029000,0.000000,0.342000,0.134000,0.148000,0.163000,0.188000,0.210000,10030736,histogram
WORD_STATS,avg_word_length__chars,4.615855,0.292129,0.085339,0.063288,0.381000,2.214000,7.864000,4.424000,4.614000,4.805000,5.091000,5.323000,10030312,histogram
WORD_STATS,short_word_ratio_3__chars,0.472204,0.036707,0.001347,0.077736,0.048000,0.167000,0.817000,0.447000,0.470000,0.495000,0.535000,0.566000,10030687,histogram
WORD_STATS,long_word_ratio_7__chars,0.272250,0.041149,0.001693,0.151143,0.054000,0.010000,0.566000,0.245000,0.272000,0.299000,0.340000,0.371000,10030738,histogram
WORD_STATS,n_words__chars,5509.011666,5728.218842,32812491.105260,1.039791,5073.000000,50.000000,121201.000000,2183.000000,4408.000000,7256.000000,13076.000000,25571.000000,10004863,histogram
WORD_STATS,avg_words_per_line__chars,49.295501,26.153724,684.017253,0.530550,28.122000,1.975000,1746.000000,31.789000,43.167000,59.911000,98.297000,139.012000,9999640,histogram
WORD_STATS,type_token_ratio__chars,0.275681,0.107905,0.011643,0.391411,0.124000,0.013000,0.952000,0.202000,0.247000,0.326000,0.491000,0.610000,10030739,histogram
WORD_STATS,capitalized_word_ratio__chars,0.088360,0.030543,0.000933,0.345666,0.031000,0.000000,0.840000,0.069000,0.082000,0.100000,0.142000,0.197000,10030688,histogram
WORD_STATS,uppercase_word_ratio__chars,0.028904,0.021672,0.000470,0.749787,0.027000,0.000000,0.426000,0.013000,0.024000,0.040000,0.071000,0.099000,10030710,histogram
LANG_STATS,fasttext_en__chars,0.933645,0.023606,0.000557,0.025284,0.030000,0.175000,0.999000,0.920000,0.935000,0.950000,0.968000,0.979000,10030613,histogram
TOKEN_STATS,token_count__chars,6607.654375,6677.856991,44593773.989796,1.010624,6120.000000,54.000000,153304.000000,2628.000000,5311.000000,8748.000000,15739.000000,30190.000000,10000985,histogram
PERPLEXITY_STATS_WIKIPEDIA,ccnet_perplexity_wikipedia_en__tokens,569.537937,195.352102,38162.443780,0.343001,206.100000,45.700000,5366.900000,445.100000,536.300000,651.200000,890.800000,1264.500000,10025243,histogram
PERPLEXITY_STATS_WIKIPEDIA,ccnet_perplexity_wikipedia_en__chars,569.537937,195.352102,38162.443780,0.343001,206.100000,45.700000,5366.900000,445.100000,536.300000,651.200000,890.800000,1264.500000,10025243,histogram
