,627k,650k,662k,665k,675k,AVG
"High School Physics (Base: 0.240, +3.2%)",4.852521408182687,37.963843958135115,-17.221693625118938,7.61179828734538,-17.221693625118938,3.1969552806850614
"High School Geography (Base: 0.239, +3.1%)",-2.8404952658412195,47.85142024763293,-26.07428987618354,5.608157319737813,-9.176984705025482,3.0735615440641006
"Philosophy (Base: 0.251, +2.9%)",15.486725663716818,-3.7610619469026476,-25.57522123893805,19.33628318584072,9.070796460176993,2.911504424778767
"Clinical Knowledge Stderr (Base: 0.026, +2.6%)",3.4391287925642327,6.83777442615954,2.972472408170179,-3.427386591430104,2.972472408170153,2.5588922887268
"College Mathematics Stderr (Base: 0.043, +2.5%)",5.921403266107013,9.104799148973832,-3.9136591653630792,2.1501709790373864,-0.7232063091386448,2.507901583923302
"Professional Psychology (Base: 0.252, +2.3%)",16.883116883116887,-13.636363636363633,-3.2467532467532463,9.090909090909102,2.5974025974026103,2.337662337662344
"College Medicine Stderr (Base: 0.032, +2.3%)",-1.870232464850442,10.861049149711725,5.809570112751634,1.4897005888387482,-4.670437195330877,2.3239300382241574
"College Physics (Base: 0.238, +2.3%)",-0.9957325746799575,56.756756756756744,-9.246088193456622,-17.4964438122333,-17.4964438122333,2.304409672830714
"College Chemistry (Base: 0.229, +2.2%)",-21.385542168674704,79.06626506024095,-12.65060240963855,-25.753012048192765,-8.283132530120486,2.1987951807228887
"Formal Logic Stderr (Base: 0.037, +1.9%)",-5.580181516633817,15.766089613104075,15.766089613104075,-12.133083727101354,-4.106726206687678,1.9424375551570598
"Nutrition (Base: 0.246, +1.9%)",3.5240274599542167,19.4508009153318,-8.421052631578954,2.1967963386727574,-7.093821510297495,1.9313501144164646
"High School Chemistry (Base: 0.246, +1.9%)",4.287690179806377,14.315352697095438,-37.82849239280774,20.3319502074689,8.298755186722001,1.8810511756569959
"High School Computer Science Stderr (Base: 0.043, +1.7%)",6.218955692519576,-8.168185864472257,2.6777605212205207,9.195137493075109,-1.4893613670959582,1.6868612950493982
"International Law (Base: 0.258, +1.7%)",21.499448732083813,-45.64498346196251,-7.276736493936038,43.88092613009924,-4.079382579933832,1.6758544652701346
"Global Facts (Base: 0.254, +1.7%)",14.266304347826095,-29.076086956521728,-25.135869565217376,26.08695652173915,22.1467391304348,1.6576086956521876
"High School Biology Stderr (Base: 0.024, +1.7%)",4.708019905454283,9.13403014140433,-9.699512111805237,1.8522245308226197,2.281893790334678,1.6553312512421345
"Sociology Stderr (Base: 0.030, +1.6%)",5.400070656865505,3.113240098530208,-0.11995703765790415,0.5616434566762576,-0.8197449918455437,1.6270504365137044
"Us Foreign Policy (Base: 0.244, +1.6%)",-1.694915254237278,6.4971751412429555,14.68926553672319,2.401129943502839,-13.983050847457617,1.5819209039548174
"Moral Disputes Stderr (Base: 0.023, +1.4%)",6.4063007985798155,-5.100377179670114,0.023045555913451837,6.117870696119294,-0.3691372790089983,1.4155405183866896
"High School Psychology Stderr (Base: 0.018, +1.3%)",1.0235166813457146,12.370281295296758,-5.354174807806985,-1.709715970456066,-0.03832992568846232,1.2583154545381918
"Econometrics Stderr (Base: 0.041, +1.2%)",4.617461045221606,-1.927735130190405,0.46462288829028175,-0.703729301169925,3.654130263092925,1.2209499530488963
"College Computer Science Stderr (Base: 0.042, +1.2%)",4.379190991691189,11.893733224572374,0.14301745948455288,4.379190991691189,-15.029830421233942,1.1530604492410723
"Abstract Algebra (Base: 0.261, +1.1%)",22.589167767503337,-19.55085865257594,-15.719947159841457,18.758256274768854,-0.3963011889035378,1.1360634081902514
