run_type,checkpoint_type,step,ppl,mmlu_overall,mmlu_humanities,mmlu_stem,mmlu_social_sciences,mmlu_other
flan_t5,best,382000,1362.15,0.24341,0.24463,0.23755,0.22879,0.26199
flan_t5,step,385000,,0.26855,0.2423,0.28671,0.30874,0.25008
flan_t5,best,387000,1362.25,0.26841,0.24208,0.28449,0.31037,0.2504
flan_t5,best,390000,1362.27,0.26706,0.2406,0.28354,0.30777,0.25008
flan_t5,best,392000,1362.49,0.26898,0.24272,0.28322,0.31102,0.25266
flan_t5,step,395000,,0.26884,0.24145,0.28544,0.31102,0.25169
flan_t5,best,400000,1361.79,0.23586,0.24633,0.22011,0.21904,0.25266
flan_t5,best,402000,1362.36,0.25509,0.2712,0.26261,0.23789,0.2401
flan_t5,best,405000,1362.47,0.26392,0.26567,0.27276,0.26064,0.25555
flan_t5,best,410000,136.28,0.22945,0.24208,0.2125,0.21709,0.23978
flan_t5,step,420000,,0.24747,0.24527,0.24167,0.23529,0.26875
flan_t5,step,425000,,0.25459,0.27099,0.26166,0.23692,0.2401
flan_t5,best,430000,1362.82,0.24078,0.24463,0.23597,0.23367,0.24686
flan_t5,best,435000,1362.67,0.26877,0.24293,0.28069,0.29217,0.27261
flan_t5,best,437000,1362.97,0.2417,0.25207,0.24231,0.22002,0.24686
flan_t5,best,440000,1362.77,0.24655,0.24506,0.23882,0.23432,0.26875
flan_t5,best,445000,1362.76,0.25367,0.26546,0.25753,0.23432,0.25105
flan_t5,best,447000,1362.98,0.22953,0.24208,0.21281,0.21709,0.23978
