,280k,290k,125k,285k,130k,350k,155k,330k,325k,340k,140k,120k,260k,335k,420k,295k,390k,425k,145k,150k,435k,265k,270k,370k,255k,430k,415k,275k,360k,300k,310k,315k,110k,380k,305k,160k,320k,135k,115k,AVG
Us Foreign Policy (Avg: 0.268),0.29,0.24,0.27,0.29,0.24,0.29,0.22,0.3,0.2,0.25,0.29,0.26,0.24,0.29,0.26,0.27,0.28,0.28,0.29,0.25,0.33,0.28,0.32,0.21,0.23,0.27,0.26,0.32,0.25,0.25,0.25,0.33,0.3,0.23,0.28,0.29,0.23,0.27,0.25,0.267948717948718
Machine Learning (Avg: 0.266),0.3125,0.3125,0.2857142857142857,0.2857142857142857,0.30357142857142855,0.19642857142857142,0.33035714285714285,0.2857142857142857,0.19642857142857142,0.25892857142857145,0.3125,0.25892857142857145,0.23214285714285715,0.32142857142857145,0.30357142857142855,0.26785714285714285,0.2767857142857143,0.32142857142857145,0.26785714285714285,0.3125,0.33035714285714285,0.2767857142857143,0.24107142857142858,0.23214285714285715,0.25,0.2767857142857143,0.2857142857142857,0.26785714285714285,0.20535714285714285,0.3125,0.19642857142857142,0.26785714285714285,0.1875,0.25892857142857145,0.17857142857142858,0.32142857142857145,0.17857142857142858,0.24107142857142858,0.22321428571428573,0.2660256410256411
High School Computer Science (Avg: 0.263),0.25,0.23,0.26,0.25,0.3,0.23,0.25,0.26,0.24,0.27,0.27,0.27,0.29,0.26,0.28,0.21,0.24,0.26,0.31,0.26,0.2,0.27,0.23,0.27,0.22,0.25,0.31,0.25,0.22,0.28,0.24,0.24,0.25,0.32,0.28,0.3,0.35,0.3,0.27,0.26256410256410256
Moral Disputes (Avg: 0.259),0.24855491329479767,0.2543352601156069,0.2514450867052023,0.2514450867052023,0.24277456647398843,0.23121387283236994,0.24566473988439305,0.22832369942196531,0.23410404624277456,0.24566473988439305,0.28034682080924855,0.26011560693641617,0.25722543352601157,0.2398843930635838,0.22254335260115607,0.2398843930635838,0.25722543352601157,0.26011560693641617,0.2514450867052023,0.2774566473988439,0.24566473988439305,0.24855491329479767,0.21676300578034682,0.2861271676300578,0.2658959537572254,0.2543352601156069,0.2774566473988439,0.23121387283236994,0.23121387283236994,0.2630057803468208,0.29190751445086704,0.26011560693641617,0.3179190751445087,0.2543352601156069,0.30057803468208094,0.30346820809248554,0.26011560693641617,0.2976878612716763,0.30057803468208094,0.2586334667259523
High School World History (Avg: 0.257),0.2489451476793249,0.270042194092827,0.27848101265822783,0.2489451476793249,0.25316455696202533,0.2320675105485232,0.2911392405063291,0.21940928270042195,0.24050632911392406,0.270042194092827,0.2869198312236287,0.27848101265822783,0.2109704641350211,0.2489451476793249,0.2489451476793249,0.24472573839662448,0.25738396624472576,0.26582278481012656,0.270042194092827,0.25316455696202533,0.25738396624472576,0.24472573839662448,0.23628691983122363,0.28270042194092826,0.24472573839662448,0.25316455696202533,0.24050632911392406,0.2489451476793249,0.21940928270042195,0.2320675105485232,0.26582278481012656,0.25316455696202533,0.31645569620253167,0.270042194092827,0.26582278481012656,0.2742616033755274,0.270042194092827,0.2742616033755274,0.25316455696202533,0.25695120631829493
Miscellaneous (Avg: 0.256),0.2388250319284802,0.24521072796934865,0.23627075351213284,0.24393358876117496,0.2503192848020434,0.2541507024265645,0.24648786717752236,0.2515964240102171,0.2222222222222222,0.2413793103448276,0.24648786717752236,0.24265644955300128,0.24776500638569604,0.24393358876117496,0.2669220945083014,0.24904214559386972,0.25798212005108556,0.2771392081736909,0.2567049808429119,0.26309067688378035,0.2822477650063857,0.26181353767560667,0.2681992337164751,0.25798212005108556,0.26053639846743293,0.26053639846743293,0.23754789272030652,0.2567049808429119,0.24776500638569604,0.24648786717752236,0.26053639846743293,0.2988505747126437,0.24904214559386972,0.2541507024265645,0.29118773946360155,0.27330779054916987,0.2771392081736909,0.2656449553001277,0.2707535121328225,0.2564757507286243
Jurisprudence (Avg: 0.255),0.25925925925925924,0.24074074074074073,0.23148148148148148,0.28703703703703703,0.25925925925925924,0.25925925925925924,0.24074074074074073,0.25,0.28703703703703703,0.25,0.25925925925925924,0.2222222222222222,0.25925925925925924,0.25925925925925924,0.28703703703703703,0.25,0.21296296296296297,0.25,0.26851851851851855,0.24074074074074073,0.17592592592592593,0.2222222222222222,0.28703703703703703,0.24074074074074073,0.2037037037037037,0.24074074074074073,0.2962962962962963,0.24074074074074073,0.24074074074074073,0.2962962962962963,0.2962962962962963,0.35185185185185186,0.2962962962962963,0.25925925925925924,0.32407407407407407,0.23148148148148148,0.2222222222222222,0.24074074074074073,0.21296296296296297,0.2552231718898385
Professional Psychology (Avg: 0.255),0.2565359477124183,0.25980392156862747,0.25163398692810457,0.25326797385620914,0.25326797385620914,0.2173202614379085,0.24509803921568626,0.2549019607843137,0.25,0.2630718954248366,0.2630718954248366,0.26143790849673204,0.28431372549019607,0.25326797385620914,0.24836601307189543,0.22875816993464052,0.2630718954248366,0.26633986928104575,0.2549019607843137,0.2647058823529412,0.23039215686274508,0.25163398692810457,0.26633986928104575,0.2581699346405229,0.2679738562091503,0.23039215686274508,0.25163398692810457,0.27124183006535946,0.24183006535947713,0.24509803921568626,0.2565359477124183,0.25326797385620914,0.2696078431372549,0.24019607843137256,0.28104575163398693,0.27450980392156865,0.24673202614379086,0.2581699346405229,0.25163398692810457,0.25486006368359315
Virology (Avg: 0.252),0.27710843373493976,0.2469879518072289,0.26506024096385544,0.2289156626506024,0.26506024096385544,0.2710843373493976,0.23493975903614459,0.29518072289156627,0.2710843373493976,0.3253012048192771,0.27710843373493976,0.26506024096385544,0.23493975903614459,0.2469879518072289,0.3132530120481928,0.2710843373493976,0.2710843373493976,0.3072289156626506,0.25903614457831325,0.25903614457831325,0.26506024096385544,0.24096385542168675,0.21686746987951808,0.19879518072289157,0.21686746987951808,0.30120481927710846,0.27710843373493976,0.23493975903614459,0.24096385542168675,0.25301204819277107,0.18072289156626506,0.2289156626506024,0.15060240963855423,0.22289156626506024,0.2469879518072289,0.20481927710843373,0.25903614457831325,0.25903614457831325,0.24096385542168675,0.2519308001235712
International Law (Avg: 0.252),0.2396694214876033,0.2396694214876033,0.2231404958677686,0.23140495867768596,0.256198347107438,0.2396694214876033,0.23140495867768596,0.23140495867768596,0.2231404958677686,0.21487603305785125,0.24793388429752067,0.2892561983471074,0.23140495867768596,0.23140495867768596,0.2644628099173554,0.2231404958677686,0.21487603305785125,0.2231404958677686,0.2727272727272727,0.2066115702479339,0.30578512396694213,0.30578512396694213,0.24793388429752067,0.24793388429752067,0.23140495867768596,0.2727272727272727,0.24793388429752067,0.19834710743801653,0.21487603305785125,0.32231404958677684,0.256198347107438,0.23140495867768596,0.2809917355371901,0.23140495867768596,0.2727272727272727,0.2396694214876033,0.2644628099173554,0.34710743801652894,0.35537190082644626,0.25153634244543344
