,5k,10k,15k,20k,25k,30k,35k,40k,45k,50k,55k,60k,65k,70k,75k,80k,85k,90k,95k,100k,105k,110k,115k,120k,125k,130k,135k,140k,145k,150k,155k,160k,165k,170k,175k,180k,205k,210k,215k,220k,225k,230k,AVG
Sociology (Avg: 0.240),0.24378109452736318,0.24378109452736318,0.24378109452736318,0.24378109452736318,0.24378109452736318,0.24378109452736318,0.2736318407960199,0.2537313432835821,0.24875621890547264,0.24378109452736318,0.263681592039801,0.26865671641791045,0.23880597014925373,0.21890547263681592,0.23880597014925373,0.22885572139303484,0.23880597014925373,0.22388059701492538,0.23880597014925373,0.2835820895522388,0.19900497512437812,0.19402985074626866,0.24875621890547264,0.20398009950248755,0.24378109452736318,0.208955223880597,0.2736318407960199,0.24378109452736318,0.22388059701492538,0.22885572139303484,0.23383084577114427,0.22388059701492538,0.24875621890547264,0.208955223880597,0.21890547263681592,0.21890547263681592,0.23383084577114427,0.22885572139303484,0.24875621890547264,0.2935323383084577,0.2885572139303483,0.22388059701492538,0.2396351575456053
Professional Accounting (Avg: 0.239),0.23404255319148937,0.23404255319148937,0.23404255319148937,0.23404255319148937,0.23404255319148937,0.23404255319148937,0.23404255319148937,0.23404255319148937,0.2375886524822695,0.23404255319148937,0.2553191489361702,0.2624113475177305,0.23049645390070922,0.18085106382978725,0.26595744680851063,0.19858156028368795,0.20567375886524822,0.2127659574468085,0.2624113475177305,0.24113475177304963,0.22695035460992907,0.23049645390070922,0.2765957446808511,0.2553191489361702,0.2375886524822695,0.25177304964539005,0.26595744680851063,0.2553191489361702,0.25886524822695034,0.23049645390070922,0.24113475177304963,0.22695035460992907,0.2624113475177305,0.24822695035460993,0.23404255319148937,0.22340425531914893,0.22340425531914893,0.2375886524822695,0.24113475177304963,0.2624113475177305,0.21631205673758866,0.2553191489361702,0.23860182370820668
Professional Medicine (Avg: 0.239),0.18382352941176472,0.18382352941176472,0.18382352941176472,0.18382352941176472,0.18382352941176472,0.18382352941176472,0.18382352941176472,0.1948529411764706,0.1875,0.18382352941176472,0.23529411764705882,0.22794117647058823,0.18382352941176472,0.3492647058823529,0.3235294117647059,0.3161764705882353,0.29044117647058826,0.2757352941176471,0.22058823529411764,0.3272058823529412,0.22426470588235295,0.18382352941176472,0.2610294117647059,0.21323529411764705,0.25735294117647056,0.25735294117647056,0.2757352941176471,0.25,0.26838235294117646,0.2610294117647059,0.21691176470588236,0.23161764705882354,0.20220588235294118,0.24632352941176472,0.22794117647058823,0.22426470588235295,0.23161764705882354,0.19117647058823528,0.23161764705882354,0.3639705882352941,0.3014705882352941,0.29411764705882354,0.2385329131652661
Moral Scenarios (Avg: 0.238),0.23798882681564246,0.23798882681564246,0.23798882681564246,0.23798882681564246,0.23798882681564246,0.23798882681564246,0.23798882681564246,0.23910614525139665,0.23798882681564246,0.23798882681564246,0.2435754189944134,0.2424581005586592,0.23798882681564246,0.24022346368715083,0.23798882681564246,0.2335195530726257,0.23687150837988827,0.24134078212290502,0.2435754189944134,0.23798882681564246,0.2346368715083799,0.23910614525139665,0.24581005586592178,0.23128491620111732,0.23798882681564246,0.24022346368715083,0.2335195530726257,0.23687150837988827,0.2424581005586592,0.24692737430167597,0.23910614525139665,0.23798882681564246,0.21899441340782122,0.23687150837988827,0.23575418994413408,0.23687150837988827,0.2424581005586592,0.23687150837988827,0.2335195530726257,0.23128491620111732,0.2346368715083799,0.2346368715083799,0.23772279861665338
High School Us History (Avg: 0.238),0.25,0.2549019607843137,0.25,0.25,0.24509803921568626,0.2549019607843137,0.24509803921568626,0.24509803921568626,0.24509803921568626,0.24509803921568626,0.23039215686274508,0.23529411764705882,0.25,0.22549019607843138,0.22058823529411764,0.25980392156862747,0.18627450980392157,0.24019607843137256,0.24019607843137256,0.22549019607843138,0.23529411764705882,0.25,0.2647058823529412,0.20098039215686275,0.22058823529411764,0.24509803921568626,0.25,0.22549019607843138,0.22549019607843138,0.22549019607843138,0.27450980392156865,0.24509803921568626,0.23039215686274508,0.2107843137254902,0.2107843137254902,0.19607843137254902,0.2549019607843137,0.24509803921568626,0.24509803921568626,0.23529411764705882,0.25980392156862747,0.23039215686274508,0.2376283846872082
Abstract Algebra (Avg: 0.236),0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.22,0.23,0.28,0.23,0.24,0.23,0.22,0.24,0.27,0.23,0.24,0.21,0.24,0.27,0.22,0.22,0.25,0.25,0.18,0.28,0.24,0.22,0.21,0.28,0.25,0.24,0.26,0.23,0.34,0.19,0.28,0.23642857142857143
Public Relations (Avg: 0.236),0.21818181818181817,0.21818181818181817,0.21818181818181817,0.21818181818181817,0.21818181818181817,0.21818181818181817,0.21818181818181817,0.21818181818181817,0.21818181818181817,0.21818181818181817,0.24545454545454545,0.24545454545454545,0.23636363636363636,0.2727272727272727,0.2727272727272727,0.22727272727272727,0.2636363636363636,0.24545454545454545,0.2818181818181818,0.2545454545454545,0.23636363636363636,0.2818181818181818,0.20909090909090908,0.20909090909090908,0.22727272727272727,0.2,0.23636363636363636,0.2545454545454545,0.2818181818181818,0.24545454545454545,0.2,0.24545454545454545,0.20909090909090908,0.22727272727272727,0.2727272727272727,0.2,0.2545454545454545,0.2545454545454545,0.22727272727272727,0.23636363636363636,0.24545454545454545,0.22727272727272727,0.2359307359307359
Econometrics (Avg: 0.235),0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.22807017543859648,0.22807017543859648,0.23684210526315788,0.23684210526315788,0.24561403508771928,0.2807017543859649,0.2543859649122807,0.18421052631578946,0.21929824561403508,0.22807017543859648,0.21052631578947367,0.19298245614035087,0.2631578947368421,0.23684210526315788,0.23684210526315788,0.2719298245614035,0.2719298245614035,0.2631578947368421,0.18421052631578946,0.21052631578947367,0.21929824561403508,0.2543859649122807,0.2807017543859649,0.22807017543859648,0.20175438596491227,0.21929824561403508,0.21929824561403508,0.16666666666666666,0.2543859649122807,0.22807017543859648,0.2719298245614035,0.2719298245614035,0.22807017543859648,0.23684210526315788,0.2631578947368421,0.23684210526315788,0.2353801169590643
College Chemistry (Avg: 0.235),0.21,0.2,0.2,0.2,0.2,0.22,0.21,0.24,0.22,0.22,0.17,0.18,0.18,0.35,0.31,0.29,0.21,0.26,0.25,0.2,0.23,0.22,0.31,0.21,0.27,0.26,0.29,0.23,0.26,0.35,0.2,0.22,0.17,0.22,0.23,0.21,0.24,0.18,0.2,0.3,0.31,0.24,0.23500000000000001
Elementary Mathematics (Avg: 0.234),0.20899470899470898,0.20899470899470898,0.20899470899470898,0.20899470899470898,0.20899470899470898,0.21164021164021163,0.21693121693121692,0.21693121693121692,0.21164021164021163,0.20899470899470898,0.21957671957671956,0.23544973544973544,0.2328042328042328,0.2566137566137566,0.2671957671957672,0.24074074074074073,0.25132275132275134,0.22486772486772486,0.23544973544973544,0.2222222222222222,0.21693121693121692,0.23015873015873015,0.25925925925925924,0.2619047619047619,0.25132275132275134,0.2222222222222222,0.21957671957671956,0.2619047619047619,0.25132275132275134,0.25925925925925924,0.24338624338624337,0.24338624338624337,0.21957671957671956,0.21957671957671956,0.2804232804232804,0.26455026455026454,0.25396825396825395,0.1984126984126984,0.21164021164021163,0.2619047619047619,0.23544973544973544,0.25925925925925924,0.23387503149407912
