,105k,110k,115k,120k,125k,130k,132k,135k,137k,140k,142k,145k,147k,150k,152k,232k,235k,240k,242k,245k,247k,250k,252k,255k,257k,260k,262k,265k,267k,270k,272k,275k,277k,280k,282k,357k,362k,365k,367k,370k,372k,375k,380k,382k,385k,387k,390k,392k,395k,397k,400k,402k,405k,407k,410k,417k,422k,442k,457k,462k,467k,477k,480k,482k,485k,487k,490k,492k,495k,500k,505k,510k,515k,520k,525k,AVG
Professional Accounting (Avg: 0.245),0.2553191489361702,0.24468085106382978,0.2695035460992908,0.2907801418439716,0.2695035460992908,0.26595744680851063,0.2695035460992908,0.2695035460992908,0.25177304964539005,0.2553191489361702,0.25886524822695034,0.24468085106382978,0.2553191489361702,0.2375886524822695,0.24822695035460993,0.24468085106382978,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24468085106382978,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24822695035460993,0.24113475177304963,0.24468085106382978,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24468085106382978,0.24113475177304963,0.24113475177304963,0.24468085106382978,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.2375886524822695,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24501182033096924
Econometrics (Avg: 0.244),0.2543859649122807,0.2719298245614035,0.2719298245614035,0.24561403508771928,0.2719298245614035,0.2543859649122807,0.2719298245614035,0.2543859649122807,0.2719298245614035,0.2719298245614035,0.2543859649122807,0.2543859649122807,0.2543859649122807,0.2543859649122807,0.2543859649122807,0.23684210526315788,0.24561403508771928,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.24561403508771928,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.24561403508771928,0.24561403508771928,0.24561403508771928,0.23684210526315788,0.24561403508771928,0.24561403508771928,0.24561403508771928,0.24561403508771928,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.24561403508771928,0.23684210526315788,0.24561403508771928,0.24561403508771928,0.24561403508771928,0.24561403508771928,0.24561403508771928,0.24561403508771928,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.24561403508771928,0.24561403508771928,0.24561403508771928,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.24561403508771928,0.24561403508771928,0.244093567251462
Professional Law (Avg: 0.244),0.24837027379400262,0.2392438070404172,0.2392438070404172,0.242503259452412,0.23989569752281617,0.2457627118644068,0.24511082138200782,0.23598435462842243,0.24315514993481094,0.24445893089960888,0.24119947848761408,0.2457627118644068,0.24315514993481094,0.2379400260756193,0.23663624511082137,0.24445893089960888,0.2438070404172099,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.2438070404172099,0.24445893089960888,0.24315514993481094,0.24445893089960888,0.2438070404172099,0.24445893089960888,0.24445893089960888,0.24315514993481094,0.24445893089960888,0.24511082138200782,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.2438070404172099,0.2457627118644068,0.24315514993481094,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.2438070404172099,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.242503259452412,0.24445893089960888,0.24315514993481094,0.2438070404172099,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.2438244241634072
Medical Genetics (Avg: 0.243),0.25,0.23,0.3,0.23,0.24,0.24,0.28,0.21,0.23,0.23,0.23,0.23,0.23,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24253333333333327
Philosophy (Avg: 0.242),0.24437299035369775,0.24115755627009647,0.2347266881028939,0.22508038585209003,0.22186495176848875,0.21864951768488747,0.2282958199356913,0.2379421221864952,0.24115755627009647,0.2282958199356913,0.2315112540192926,0.24437299035369775,0.24758842443729903,0.24758842443729903,0.2508038585209003,0.24115755627009647,0.24758842443729903,0.24758842443729903,0.24758842443729903,0.24437299035369775,0.24437299035369775,0.24115755627009647,0.24758842443729903,0.24437299035369775,0.24437299035369775,0.24115755627009647,0.24115755627009647,0.24115755627009647,0.24437299035369775,0.24115755627009647,0.24115755627009647,0.24115755627009647,0.24115755627009647,0.24115755627009647,0.24115755627009647,0.24437299035369775,0.24437299035369775,0.24115755627009647,0.24115755627009647,0.24115755627009647,0.24115755627009647,0.24115755627009647,0.24115755627009647,0.24758842443729903,0.24758842443729903,0.24437299035369775,0.24115755627009647,0.24437299035369775,0.24758842443729903,0.24437299035369775,0.24115755627009647,0.24115755627009647,0.24758842443729903,0.24115755627009647,0.24437299035369775,0.24115755627009647,0.24437299035369775,0.24437299035369775,0.24758842443729903,0.24758842443729903,0.24437299035369775,0.24758842443729903,0.2379421221864952,0.24115755627009647,0.2379421221864952,0.24115755627009647,0.24115755627009647,0.24115755627009647,0.2379421221864952,0.24115755627009647,0.24115755627009647,0.24115755627009647,0.24115755627009647,0.24115755627009647,0.24115755627009647,0.24158628081457664
Public Relations (Avg: 0.239),0.24545454545454545,0.24545454545454545,0.2545454545454545,0.24545454545454545,0.2818181818181818,0.2909090909090909,0.2636363636363636,0.23636363636363636,0.24545454545454545,0.2727272727272727,0.2545454545454545,0.24545454545454545,0.2727272727272727,0.2727272727272727,0.23636363636363636,0.2545454545454545,0.2545454545454545,0.2545454545454545,0.24545454545454545,0.24545454545454545,0.24545454545454545,0.2545454545454545,0.22727272727272727,0.2545454545454545,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.2545454545454545,0.2545454545454545,0.23636363636363636,0.22727272727272727,0.23636363636363636,0.23636363636363636,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.23636363636363636,0.22727272727272727,0.23636363636363636,0.23636363636363636,0.23636363636363636,0.22727272727272727,0.23636363636363636,0.23636363636363636,0.23636363636363636,0.23636363636363636,0.2545454545454545,0.23636363636363636,0.23636363636363636,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.23636363636363636,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.23866666666666664
Logical Fallacies (Avg: 0.235),0.2392638036809816,0.2331288343558282,0.2085889570552147,0.2147239263803681,0.2392638036809816,0.2392638036809816,0.22699386503067484,0.24539877300613497,0.2392638036809816,0.24539877300613497,0.2331288343558282,0.24539877300613497,0.22699386503067484,0.25766871165644173,0.24539877300613497,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2392638036809816,0.2392638036809816,0.2392638036809816,0.2331288343558282,0.2331288343558282,0.2392638036809816,0.2392638036809816,0.2392638036809816,0.2392638036809816,0.2392638036809816,0.2331288343558282,0.2392638036809816,0.2331288343558282,0.2331288343558282,0.2392638036809816,0.24539877300613497,0.2392638036809816,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2331288343558282,0.2347648261758691
Electrical Engineering (Avg: 0.233),0.22758620689655173,0.19310344827586207,0.22758620689655173,0.21379310344827587,0.23448275862068965,0.2482758620689655,0.23448275862068965,0.2206896551724138,0.21379310344827587,0.2206896551724138,0.22758620689655173,0.20689655172413793,0.21379310344827587,0.22758620689655173,0.21379310344827587,0.23448275862068965,0.23448275862068965,0.22758620689655173,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.23448275862068965,0.2482758620689655,0.2413793103448276,0.2413793103448276,0.23448275862068965,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.23448275862068965,0.22758620689655173,0.2482758620689655,0.21379310344827587,0.2206896551724138,0.23448275862068965,0.22758620689655173,0.23448275862068965,0.22758620689655173,0.23448275862068965,0.22758620689655173,0.23448275862068965,0.2413793103448276,0.23448275862068965,0.2413793103448276,0.23448275862068965,0.23448275862068965,0.2413793103448276,0.22758620689655173,0.22758620689655173,0.22758620689655173,0.22758620689655173,0.22758620689655173,0.22758620689655173,0.23448275862068965,0.23448275862068965,0.22758620689655173,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.23347126436781618
Anatomy (Avg: 0.230),0.23703703703703705,0.21481481481481482,0.24444444444444444,0.22962962962962963,0.2518518518518518,0.22962962962962963,0.2518518518518518,0.25925925925925924,0.22962962962962963,0.21481481481481482,0.2222222222222222,0.21481481481481482,0.21481481481481482,0.23703703703703705,0.2222222222222222,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.23703703703703705,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.23703703703703705,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.2222222222222222,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.23703703703703705,0.23703703703703705,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.23703703703703705,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.22962962962962963,0.23041975308641985
Prehistory (Avg: 0.226),0.2345679012345679,0.25,0.25617283950617287,0.23148148148148148,0.24382716049382716,0.22839506172839505,0.2191358024691358,0.21604938271604937,0.23148148148148148,0.21604938271604937,0.23148148148148148,0.22530864197530864,0.24382716049382716,0.22839506172839505,0.2222222222222222,0.2222222222222222,0.22530864197530864,0.22530864197530864,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.22530864197530864,0.2222222222222222,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.2222222222222222,0.2222222222222222,0.22530864197530864,0.2222222222222222,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.23148148148148148,0.22530864197530864,0.22530864197530864,0.22839506172839505,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22839506172839505,0.22530864197530864,0.22530864197530864,0.22839506172839505,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.2222222222222222,0.22530864197530864,0.22839506172839505,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22839506172839505,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22530864197530864,0.22839506172839505,0.22646090534979427
