,45k,5k,10k,35k,25k,30k,40k,55k,20k,50k,145k,60k,95k,65k,155k,165k,180k,80k,100k,125k,90k,150k,135k,120k,110k,85k,70k,75k,140k,130k,160k,215k,200k,210k,195k,230k,255k,265k,280k,225k,250k,270k,380k,240k,260k,275k,245k,285k,375k,305k,385k,335k,235k,330k,390k,340k,370k,315k,295k,320k,325k,365k,300k,360k,AVG
Machine Learning (Avg: 0.255),0.32142857142857145,0.3125,0.3125,0.32142857142857145,0.32142857142857145,0.3125,0.30357142857142855,0.33035714285714285,0.30357142857142855,0.33035714285714285,0.29464285714285715,0.3392857142857143,0.30357142857142855,0.3392857142857143,0.26785714285714285,0.3125,0.29464285714285715,0.30357142857142855,0.2767857142857143,0.2857142857142857,0.30357142857142855,0.29464285714285715,0.29464285714285715,0.2767857142857143,0.2767857142857143,0.29464285714285715,0.3125,0.2857142857142857,0.3125,0.25892857142857145,0.29464285714285715,0.25892857142857145,0.24107142857142858,0.23214285714285715,0.25,0.2767857142857143,0.25,0.20535714285714285,0.26785714285714285,0.22321428571428573,0.23214285714285715,0.22321428571428573,0.16964285714285715,0.21428571428571427,0.17857142857142858,0.23214285714285715,0.21428571428571427,0.25,0.17857142857142858,0.21428571428571427,0.16964285714285715,0.21428571428571427,0.20535714285714285,0.1875,0.16964285714285715,0.1875,0.16964285714285715,0.22321428571428573,0.20535714285714285,0.16071428571428573,0.16964285714285715,0.16071428571428573,0.20535714285714285,0.16964285714285715,0.2547433035714286
College Medicine (Avg: 0.253),0.2023121387283237,0.2254335260115607,0.20809248554913296,0.2023121387283237,0.20809248554913296,0.20809248554913296,0.20809248554913296,0.2023121387283237,0.2138728323699422,0.2023121387283237,0.2023121387283237,0.19653179190751446,0.2023121387283237,0.2023121387283237,0.1907514450867052,0.20809248554913296,0.2023121387283237,0.20809248554913296,0.20809248554913296,0.2138728323699422,0.2254335260115607,0.2023121387283237,0.2138728323699422,0.23121387283236994,0.2138728323699422,0.23699421965317918,0.23699421965317918,0.23121387283236994,0.2138728323699422,0.2138728323699422,0.1907514450867052,0.24855491329479767,0.2543352601156069,0.26011560693641617,0.2658959537572254,0.24855491329479767,0.2658959537572254,0.2658959537572254,0.2543352601156069,0.2254335260115607,0.2774566473988439,0.23121387283236994,0.31213872832369943,0.2947976878612717,0.28901734104046245,0.2774566473988439,0.27167630057803466,0.2543352601156069,0.31213872832369943,0.2947976878612717,0.34104046242774566,0.3236994219653179,0.28901734104046245,0.31213872832369943,0.32947976878612717,0.3352601156069364,0.3468208092485549,0.3352601156069364,0.32947976878612717,0.3179190751445087,0.3236994219653179,0.31213872832369943,0.3179190751445087,0.35260115606936415,0.25307080924855496
Sociology (Avg: 0.252),0.23383084577114427,0.22885572139303484,0.23880597014925373,0.24875621890547264,0.23383084577114427,0.23383084577114427,0.23880597014925373,0.22885572139303484,0.22388059701492538,0.23880597014925373,0.23880597014925373,0.23880597014925373,0.23880597014925373,0.22885572139303484,0.24875621890547264,0.23880597014925373,0.2537313432835821,0.24875621890547264,0.24875621890547264,0.2537313432835821,0.263681592039801,0.25870646766169153,0.25870646766169153,0.24875621890547264,0.2736318407960199,0.2537313432835821,0.23880597014925373,0.263681592039801,0.26865671641791045,0.22885572139303484,0.263681592039801,0.25870646766169153,0.2935323383084577,0.27860696517412936,0.25870646766169153,0.2736318407960199,0.24875621890547264,0.26865671641791045,0.23880597014925373,0.26865671641791045,0.19900497512437812,0.23383084577114427,0.2537313432835821,0.24378109452736318,0.263681592039801,0.21393034825870647,0.24875621890547264,0.24875621890547264,0.2537313432835821,0.26865671641791045,0.2736318407960199,0.25870646766169153,0.263681592039801,0.2537313432835821,0.26865671641791045,0.263681592039801,0.26865671641791045,0.25870646766169153,0.263681592039801,0.26865671641791045,0.263681592039801,0.26865671641791045,0.2736318407960199,0.2736318407960199,0.25225435323383083
Econometrics (Avg: 0.252),0.23684210526315788,0.23684210526315788,0.23684210526315788,0.24561403508771928,0.23684210526315788,0.24561403508771928,0.23684210526315788,0.24561403508771928,0.24561403508771928,0.23684210526315788,0.23684210526315788,0.2631578947368421,0.23684210526315788,0.2543859649122807,0.22807017543859648,0.24561403508771928,0.22807017543859648,0.24561403508771928,0.2543859649122807,0.23684210526315788,0.2631578947368421,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.2719298245614035,0.2543859649122807,0.2982456140350877,0.2631578947368421,0.2631578947368421,0.24561403508771928,0.21929824561403508,0.2543859649122807,0.22807017543859648,0.23684210526315788,0.2543859649122807,0.23684210526315788,0.2543859649122807,0.2543859649122807,0.24561403508771928,0.2631578947368421,0.24561403508771928,0.2543859649122807,0.24561403508771928,0.2543859649122807,0.2719298245614035,0.23684210526315788,0.2543859649122807,0.2631578947368421,0.24561403508771928,0.2719298245614035,0.2631578947368421,0.2719298245614035,0.2719298245614035,0.2719298245614035,0.2631578947368421,0.2631578947368421,0.2543859649122807,0.2982456140350877,0.2631578947368421,0.2894736842105263,0.2543859649122807,0.2543859649122807,0.2543859649122807,0.2631578947368421,0.2520559210526315
World Religions (Avg: 0.251),0.30994152046783624,0.3157894736842105,0.3333333333333333,0.3157894736842105,0.3157894736842105,0.30994152046783624,0.3157894736842105,0.32748538011695905,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.29239766081871343,0.30409356725146197,0.2982456140350877,0.29239766081871343,0.28654970760233917,0.27485380116959063,0.3157894736842105,0.2982456140350877,0.25146198830409355,0.28654970760233917,0.28654970760233917,0.3157894736842105,0.28654970760233917,0.30409356725146197,0.29239766081871343,0.2982456140350877,0.29239766081871343,0.2982456140350877,0.2573099415204678,0.3157894736842105,0.23391812865497075,0.23976608187134502,0.2222222222222222,0.23391812865497075,0.23391812865497075,0.19298245614035087,0.19883040935672514,0.21637426900584794,0.2222222222222222,0.2046783625730994,0.21637426900584794,0.23391812865497075,0.2222222222222222,0.1871345029239766,0.21637426900584794,0.21052631578947367,0.21052631578947367,0.22807017543859648,0.1871345029239766,0.18128654970760233,0.18128654970760233,0.21052631578947367,0.18128654970760233,0.1871345029239766,0.19883040935672514,0.18128654970760233,0.18128654970760233,0.19883040935672514,0.18128654970760233,0.17543859649122806,0.2046783625730994,0.18128654970760233,0.19298245614035087,0.2513706140350877
Conceptual Physics (Avg: 0.251),0.26382978723404255,0.24680851063829787,0.26382978723404255,0.25957446808510637,0.25957446808510637,0.25957446808510637,0.2680851063829787,0.2723404255319149,0.26382978723404255,0.26382978723404255,0.2680851063829787,0.25957446808510637,0.251063829787234,0.25957446808510637,0.2765957446808511,0.251063829787234,0.2851063829787234,0.25957446808510637,0.25957446808510637,0.26382978723404255,0.2553191489361702,0.2723404255319149,0.2680851063829787,0.2425531914893617,0.24680851063829787,0.2723404255319149,0.23829787234042554,0.251063829787234,0.2680851063829787,0.2680851063829787,0.26382978723404255,0.28085106382978725,0.251063829787234,0.2680851063829787,0.26382978723404255,0.251063829787234,0.25957446808510637,0.25957446808510637,0.25957446808510637,0.26382978723404255,0.2553191489361702,0.2723404255319149,0.23404255319148937,0.26382978723404255,0.26382978723404255,0.23404255319148937,0.26382978723404255,0.25957446808510637,0.22127659574468084,0.2297872340425532,0.2127659574468085,0.22127659574468084,0.2723404255319149,0.2170212765957447,0.20425531914893616,0.20851063829787234,0.2170212765957447,0.2297872340425532,0.25957446808510637,0.20851063829787234,0.22127659574468084,0.2127659574468085,0.2127659574468085,0.225531914893617,0.2512632978723405
Marketing (Avg: 0.250),0.2905982905982906,0.2905982905982906,0.2948717948717949,0.2905982905982906,0.2905982905982906,0.2905982905982906,0.2905982905982906,0.29914529914529914,0.2948717948717949,0.31196581196581197,0.2905982905982906,0.3034188034188034,0.28205128205128205,0.31196581196581197,0.26495726495726496,0.24786324786324787,0.24786324786324787,0.2777777777777778,0.3034188034188034,0.23931623931623933,0.23931623931623933,0.25213675213675213,0.24786324786324787,0.2564102564102564,0.26495726495726496,0.23931623931623933,0.2606837606837607,0.25213675213675213,0.24786324786324787,0.25213675213675213,0.27350427350427353,0.24358974358974358,0.24358974358974358,0.2606837606837607,0.23931623931623933,0.23931623931623933,0.23931623931623933,0.2564102564102564,0.2264957264957265,0.2264957264957265,0.2264957264957265,0.23504273504273504,0.2094017094017094,0.2222222222222222,0.2222222222222222,0.24786324786324787,0.2222222222222222,0.24786324786324787,0.20085470085470086,0.23076923076923078,0.20512820512820512,0.24786324786324787,0.2264957264957265,0.23931623931623933,0.20085470085470086,0.2222222222222222,0.20085470085470086,0.21794871794871795,0.23931623931623933,0.21794871794871795,0.2264957264957265,0.20512820512820512,0.2222222222222222,0.20512820512820512,0.250267094017094
College Mathematics (Avg: 0.249),0.22,0.21,0.21,0.22,0.23,0.21,0.22,0.22,0.22,0.21,0.23,0.21,0.22,0.22,0.23,0.22,0.25,0.23,0.25,0.23,0.24,0.26,0.22,0.23,0.26,0.25,0.17,0.22,0.25,0.25,0.26,0.26,0.28,0.26,0.27,0.27,0.28,0.24,0.25,0.27,0.28,0.24,0.27,0.26,0.28,0.25,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.29,0.28,0.27,0.27,0.25,0.27,0.27,0.27,0.27,0.28,0.28,0.24875
Professional Law (Avg: 0.248),0.24445893089960888,0.2457627118644068,0.2457627118644068,0.2438070404172099,0.24445893089960888,0.24445893089960888,0.24445893089960888,0.24511082138200782,0.24511082138200782,0.24511082138200782,0.24641460234680573,0.2438070404172099,0.24511082138200782,0.24511082138200782,0.2470664928292047,0.24967405475880053,0.2470664928292047,0.24771838331160365,0.24771838331160365,0.24771838331160365,0.2470664928292047,0.24771838331160365,0.2457627118644068,0.2470664928292047,0.24837027379400262,0.24771838331160365,0.2516297262059974,0.25358539765319427,0.2457627118644068,0.2522816166883963,0.2516297262059974,0.24967405475880053,0.2542372881355932,0.2522816166883963,0.2542372881355932,0.25358539765319427,0.2542372881355932,0.24641460234680573,0.25684485006518903,0.25488917861799215,0.25097783572359844,0.25358539765319427,0.24445893089960888,0.24837027379400262,0.25097783572359844,0.2516297262059974,0.25554106910039115,0.2503259452411995,0.24315514993481094,0.25097783572359844,0.24511082138200782,0.24837027379400262,0.24902216427640156,0.2529335071707953,0.2470664928292047,0.23859191655801826,0.24315514993481094,0.24641460234680573,0.25097783572359844,0.24445893089960888,0.24641460234680573,0.24967405475880053,0.2561929595827901,0.2457627118644068,0.24836008800521514
Virology (Avg: 0.245),0.28313253012048195,0.28313253012048195,0.28313253012048195,0.28313253012048195,0.28313253012048195,0.27710843373493976,0.28313253012048195,0.29518072289156627,0.28313253012048195,0.3072289156626506,0.30120481927710846,0.3072289156626506,0.29518072289156627,0.3253012048192771,0.29518072289156627,0.30120481927710846,0.28313253012048195,0.27710843373493976,0.30120481927710846,0.26506024096385544,0.30120481927710846,0.2891566265060241,0.3072289156626506,0.3132530120481928,0.3192771084337349,0.29518072289156627,0.3192771084337349,0.3072289156626506,0.29518072289156627,0.29518072289156627,0.29518072289156627,0.18674698795180722,0.22289156626506024,0.1927710843373494,0.19879518072289157,0.1927710843373494,0.22289156626506024,0.21084337349397592,0.21686746987951808,0.1927710843373494,0.1927710843373494,0.22289156626506024,0.21084337349397592,0.18674698795180722,0.19879518072289157,0.1927710843373494,0.20481927710843373,0.22289156626506024,0.18072289156626506,0.18072289156626506,0.18674698795180722,0.19879518072289157,0.19879518072289157,0.19879518072289157,0.19879518072289157,0.19879518072289157,0.18674698795180722,0.20481927710843373,0.19879518072289157,0.18674698795180722,0.19879518072289157,0.18072289156626506,0.18674698795180722,0.19879518072289157,0.2453878012048193
